10224,Rathaus
10223,Ritterturnier,True
10225,R2-D2™,True
10226,Sopwith Camel,True
10227,B-Wing Starfighter Star Wars,True
10228,Geisterhaus,True
10229,Winterliche Hütte,True
10230,"""Mini-Modulsets (Microversionen von Café Corner",True
10516,Arielles magische Bootsfahrt,False
10531,Micky und seine Freunde,False
10937,Batman™: Ausbruch aus Arkham Asylum,True
20204,"""MBA Level Two - Kit 5",False
20205,MBA Level Two - Kit 6 Auto Designer,False
20206,"""MBA Level Three - Kit 7",False
20207,"""MBA Level Three - Kit 8",False
20208,"""MBA Level Three - Kit 9",False
21012,Sydney Opera House™,True
21013,Big Ben,True
21014,Villa Savoye,True
21016,"""Architecture Baukasten",True
21101,Hayabusa,True
21102,Micro World – Der Wald,True
21201,Life of George II,False
30017,Police Boat,False
30018,Police Plane,False
30019,Fire Helicopter,False
30056,Star Destroyer,False
30057,Anakin`s Podracer,False
30058,STAP Battle Droid Mini,False
30059,MTT,False
30085,Snake Battle,False
30086,Set,False
30087,Cole ZX's Car,False
30088,Rattla,False
30100,Andrea on the Beach,False
30101,Skate Boarder,False
30102,Desk,False
30103,Car,False
30105,Stephanie and Mailbox,False
30150,Race Car,False
30151,Bagger Sonderedition aus der Serie City Berkgwerk,False
30152,Presslufthammer,False
30160,Bat Jetski,False
30161,Batmobil,False
30162,Quinjet,False
30163,Thor und der Kosmische Würfel,False
30164,Lex Luthor,False
30165,Hawkeye,False
30170,Ganrash,False
30180,Twin Prop,False
30181,Helicopter,False
30182,Santa,False
30190,Ferrari 150° Italia,False
30191,Scuderia Ferrari Truck,False
30192,Ferrari F40,False
30193,250 GT Berlinetta,False
30194,458 Italia,False
30195,FXX,False
30196,Shell F1 Team,False
30200,Zombie Chauffeur Coffin Car,False
30201,Ghost,False
30210,Frodo with Cooking Corner,False
30211,Uruk Hai with Ballista,False
30212,Mirkwood Elf Guard,False
30213,Gandalf at Dol Guldur,False
3061,Café,True
3063,Flugschule mit Wasserflugzeug,True
3065,Abenteuer Baumhaus,True
3183,Stephanie's Cabrio,True
3184,Abenteuer Wohnmobil,True
3185,Großer Reiterhof,True
3186,Geländewagen mit Pferdeanhänger,True
3187,Schönheitssalon,True
3188,Tierklinik,True
3189,Heartlake Stables,True
3315,Traumhaus,True
3316,"""Advent Calender 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,Adventskalender,False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3316,"""Advent Calendar 2012",False
3817,Der Fliegende Holländer,True
3818,Unterwasser-Party in Bikini Bottom,True
3863,Kokoriko,True
3864,Mini-Taurus,True
3865,LEGO® City Alarm,True
3866,The Battle of Hoth™,True
3874,HEROICA Ilrion,True
3920,Der Hobbit : Eine unerwartete Reise™,True
3930,Stephanie's Backspaß im Garten,True
3931,Emma's Sonnenterrasse,True
3932,Andrea’s Stage,True
3933,Olivia’s Invention Workshop,True
3934,Mia's Welpen-Häuschen,True
3935,Stephanie's mobile Tierrettung,True
3936,Emma's Designstudio,True
3937,Olivias Rennboot,True
3938,Andreas Kaninchenstall,True
3939,Mias Musikzimmer,True
3942,Die große Hundeschau,True
40025,Yellow Cab,False
40026,"""Statue of Liberty (LEGO Store",False
40029,Heart 2012,False
40030,Duck with Ducklings,False
40031,Bunny and Chick,False
40032,Witch,False
40033,Turkey,False
40034,Christmas Train,True
40035,Rocking Horse,True
40036,Monthly Mini Model Build January 2012 - Cobra,False
40037,Monthly Mini Model Build February 2012 - Hockey Player,False
40038,Monthly Mini Model Build March 2012 - Garden and Earthworm,False
40039,Monthly Mini Model Build May 2012 - Tulip,False
40040,Monthly Mini Model Build July 2012 - Olympic Flame,False
40041,Monthly Mini Model Build December 2012 - Moose,False
40042,Monthly Mini Model Build October 2012 - Cat,False
40043,Monthly Mini Model Build April 2012 - Duck,False
40044,Monthly Mini Model Build June 2012 - Lawnmower,False
40045,Monthly Mini Model Build August 2012 - Shark,False
40047,Monthly Mini Model Build September 2012 - Owl,False
40048,Geburtstagskuchen,False
40049,Mini Sopwith Camel,False
40076,Zombie Car,False
4200,Gruben,True
4201,Bagger mit Kipplaster,True
4202,Muldenkipper,True
4203,Grubenbagger mit Transporter,True
4204,Bergwerk,True
4205,Polizei Kommandozentrale,True
4206,Recycling-Truck,True
4207,City Garage,True
4208,4x4 Fire Truck,True
4209,Feuerwehr-Löschflugzeug,True
4427,Feuerwehr-Buggy,True
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
4428,"""Advent Calendar 2012",False
